expert.level,country,ASA.Class,Apfel.Score,NYHA.Score,ARISCAT.Score,rRCI,POSPOM,method.future.evaluation,who.obtains,online.legal,online.possible.internet,online.possible.telefon,lack of contact,impossible to observe behavior,no relation,no confidence,legal requirenments,unsure if illigal,no anamnestic info,Less stressful,Less waiting,Standardized questionaires,More efficient than face-to-face,Obtain.both.parents.complex,Obtain.both.parents.simple,parents.legal.online,id.card,id.card.needed
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,Different (please comment),Different (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Always both parents,"Just the one, who is present",No,Different (please commment),No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Yes,Not selected,in person,Resident,Yes,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Special trained nurse,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,Different (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Different (please commment),Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,No,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via patient´s self assessment,Resident,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Always both parents,Always both parents,Yes,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,"Just the one, who is present",Yes,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),No,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present",Always both parents,No,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,other,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Different (please comment),Different (please comment),Different (please commment),No,No
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Resident,No,Different (please comment),Different (please comment),Not selected,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),Yes,Yes
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,I do not know,Different (please comment),Different (please comment),Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,Yes,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,Different (please comment),No (please comment),Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Always both parents,Always both parents,No,No,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Always both parents,Always both parents,Yes,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Yes,Not selected,Yes,Not selected,in person,Resident,I do not know,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),No,No
Other,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,Different (please comment),Different (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Special trained nurse,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,No,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Yes,in person,Consultant,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Other,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,Italy,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Kosovo,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Italy,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,No,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Consultant,Switzerland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,other,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,No,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Sweden,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,Different (please comment),Different (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Serbia,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Special trained nurse,I do not know,No (please comment),No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Slovenia,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Italy,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,No,No
Resident,Ireland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Italy,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,other,I do not know,No (please comment),No (please comment),Not selected,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,No
Other,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,other,I do not know,No (please comment),Yes,Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Consultant,Serbia,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,Different (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,Yes,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
Consultant,Germany,Yes,Not selected,Not selected,Not selected,Yes,Not selected,in person,Resident,No,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Always both parents,"Just the one, who is present",Yes,No,No
Consultant,Bosnia and Herzegovina,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),No (please comment),Yes,Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Spain,Yes,Yes,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),No (please comment),Not selected,Yes,Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),Yes,Yes
Resident,Portugal,Yes,Yes,Not selected,Not selected,Yes,Not selected,in person,Consultant,I do not know,Yes,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Yes,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,NA,Resident,I do not know,No (please comment),Different (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),No,No
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,I do not know,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",Yes,No,No
Consultant,Germany,Yes,Yes,Yes,Not selected,Yes,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),Yes,No,No
Consultant,Turkey,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Consultant,France,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Always both parents,Always both parents,No,No,No
Resident,Cyprus,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Portugal,Yes,Yes,Yes,Yes,Yes,Not selected,in person,Consultant,I do not know,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Always both parents,Always both parents,No,Yes,Yes
Consultant,Netherlands,Yes,Not selected,Yes,Not selected,Yes,Not selected,online via videoconference,Anaesthesia technician,Yes,Different (please comment),Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Yes,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Consultant,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Consultant,Austria,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Sweden,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Spain,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Netherlands,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Always both parents,Always both parents,Yes,Different (please commment),Yes
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,Yes,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,No
Other,Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Switzerland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via patient´s self assessment,Consultant,Yes,No (please comment),Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",Yes,No,Yes
Consultant,Other,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Romania,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Switzerland,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Resident,No,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Different (please comment),"Just the one, who is present",No,No,No
Consultant,Kazakhstan,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Consultant,I do not know,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,NA
Anaesthesia technician,Other,Yes,Yes,Not selected,Not selected,Not selected,Not selected,online via patient´s self assessment,Resident,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Always both parents,"Just the one, who is present",Yes,Yes,Yes
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,online via videoconference,Resident,Yes,No (please comment),Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Different (please commment),No,No
Consultant,Germany,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,United Kingdom (UK),Yes,Yes,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,Yes,No (please comment),No (please comment),Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Other,Yes,Not selected,Not selected,Not selected,Yes,Not selected,online via videoconference,Resident,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,"Just the one, who is present","Just the one, who is present",Yes,Yes,Yes
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Resident,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Resident,I do not know,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Resident,Germany,Yes,Yes,Yes,Not selected,Not selected,Not selected,in person,Resident,No,No (please comment),No (please comment),Yes,Not selected,Not selected,Yes,Yes,Yes,Not selected,Yes,Yes,Not selected,Yes,Always both parents,"Just the one, who is present",No,No,No
Consultant,Greece,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Yes,Yes,Always both parents,"Just the one, who is present",No,Yes,Yes
Consultant,Sweden,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,Consultant,Yes,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),Different (please commment),Different (please commment),Different (please commment)
Consultant,Spain,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,I do not know,No (please comment),Different (please comment),Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Just the one, who is present","Just the one, who is present",No,No,Yes
Consultant,Turkey,Yes,Not selected,Yes,Not selected,Not selected,Not selected,in person,other,No,No (please comment),No (please comment),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Different (please comment),Different (please comment),No,Yes,Yes
Resident,Other,Yes,Not selected,Yes,Not selected,Not selected,Not selected,online via videoconference,Resident,I do not know,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Consultant,Norway,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Consultant,Yes,No (please comment),Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Different (please comment),Different (please comment),Different (please commment),No,Different (please commment)
Consultant,Portugal,Yes,Yes,Yes,Yes,Not selected,Not selected,NA,Consultant,I do not know,No (please comment),No (please comment),Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Yes,Not selected,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
Consultant,Switzerland,Yes,Not selected,Yes,Not selected,Not selected,Not selected,via telefone,Consultant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Other,Other,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,in person,Consultant,No,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Yes,Yes,"Just the one, who is present","Just the one, who is present",No,Yes,Yes
